buy_threshold,sell_threshold,sl_atr_mult,tp_atr_mult,trades,win_rate,profit_factor,net_profit,final_balance
0.35,0.35,1.5,2.5,477,0.6540880503144654,2.3134335651766857,3935.679285714295,4935.6792857142955
0.35,0.3,1.5,2.5,497,0.6498993963782697,2.190901651089571,3906.1557142857196,4906.15571428572
0.35,0.35,1.2,2.0,499,0.6432865731462926,2.2511904421610534,3851.8748571428646,4851.874857142864
0.35,0.35,1.2,2.5,489,0.6380368098159509,2.2512058261444947,3846.5080714285814,4846.508071428581
0.35,0.35,1.5,2.0,487,0.6611909650924025,2.277187376307156,3842.0907142857204,4842.09071428572
0.4,0.35,1.5,2.0,464,0.6702586206896551,2.4154481583154848,3815.3460714285784,4815.346071428578
0.4,0.35,1.2,2.0,471,0.6539278131634819,2.3909717845768075,3797.5731428571507,4797.573142857151
0.35,0.3,1.5,2.0,503,0.658051689860835,2.1603624067936984,3794.3432142857173,4794.343214285717
0.4,0.3,1.5,2.0,482,0.6659751037344398,2.2778802646915772,3779.2085714285754,4779.208571428575
0.4,0.35,1.5,2.5,453,0.6622516556291391,2.4004034620330974,3765.7514285714396,4765.75142857144
0.4,0.3,1.5,2.5,473,0.6575052854122622,2.2577238174637966,3747.273571428578,4747.273571428578
0.35,0.3,1.2,2.0,515,0.6388349514563106,2.112590598474667,3722.6448571428627,4722.644857142863
0.35,0.3,1.2,2.5,508,0.6299212598425197,2.096513607558287,3713.8386428571503,4713.83864285715
0.4,0.3,1.2,2.0,490,0.6469387755102041,2.2208744679498524,3670.8831428571502,4670.88314285715
0.35,0.4,1.2,2.0,456,0.625,2.23917129837543,3657.2197142857117,4657.219714285711
0.35,0.4,1.5,2.5,439,0.6332574031890661,2.242780635827149,3626.4742857142896,4626.47428571429
0.4,0.35,1.2,2.5,462,0.645021645021645,2.2992993904053822,3609.704285714296,4609.704285714296
0.4,0.35,1.0,2.0,482,0.6348547717842323,2.2276552096822466,3607.2692857142983,4607.269285714298
0.35,0.4,1.2,2.5,451,0.6186252771618626,2.2042769474326187,3587.0187142857185,4587.0187142857185
0.35,0.4,1.5,2.0,446,0.6390134529147982,2.22530936205472,3584.4539285714272,4584.453928571427
0.4,0.4,1.2,2.0,428,0.6355140186915887,2.3692558174250116,3574.7208571428573,4574.720857142857
0.35,0.3,1.5,1.5,510,0.6627450980392157,2.118737361094541,3567.28785714285,4567.28785714285
0.4,0.35,1.0,2.5,476,0.6260504201680672,2.1774875745156606,3555.8467857142996,4555.8467857143
0.4,0.4,1.5,2.0,422,0.6492890995260664,2.3568422340641297,3540.5121428571438,4540.512142857144
0.35,0.35,1.5,1.5,496,0.6673387096774194,2.1878600427340107,3511.901428571428,4511.9014285714275
0.35,0.35,1.0,2.5,504,0.6091269841269841,2.0067207243918705,3501.0482142857245,4501.0482142857245
0.4,0.3,1.2,2.5,482,0.6369294605809128,2.1372125319672,3499.8817142857224,4499.881714285722
0.4,0.4,1.5,2.5,413,0.6440677966101694,2.3476312886343913,3488.4764285714355,4488.4764285714355
0.35,0.35,1.2,1.5,511,0.6516634050880626,2.147757866631291,3480.4524285714274,4480.452428571427
0.35,0.3,1.2,1.5,524,0.6450381679389313,2.0603633454900643,3466.2965714285674,4466.296571428567
0.45,0.35,1.2,2.5,406,0.6551724137931034,2.4347870255247215,3460.310714285728,4460.310714285728
0.35,0.35,1.0,2.0,513,0.6159844054580896,2.0043459060660114,3456.9500000000085,4456.950000000008
0.45,0.35,1.5,2.5,401,0.6683291770573566,2.4212729806250244,3454.076071428586,4454.076071428586
0.45,0.3,1.5,2.5,421,0.66270783847981,2.27557517628425,3450.8782142857244,4450.878214285724
0.45,0.35,1.0,2.5,417,0.6354916067146283,2.311158427932203,3440.462857142874,4440.462857142874
0.4,0.3,1.5,1.5,489,0.6707566462167689,2.179801875858067,3432.169642857144,4432.169642857144
0.4,0.3,1.0,2.0,506,0.6205533596837944,2.0439549690176797,3415.1264285714415,4415.1264285714415
0.4,0.35,1.5,1.5,469,0.67590618336887,2.2875675869675027,3408.173928571436,4408.173928571436
0.4,0.4,1.0,2.0,435,0.6206896551724138,2.234959915715582,3407.704285714295,4407.704285714295
0.4,0.3,1.0,2.5,501,0.6107784431137725,2.0069572370093502,3395.333214285727,4395.333214285727
0.45,0.35,1.2,2.0,418,0.6578947368421053,2.3547309722510272,3391.9525714285846,4391.952571428585
0.45,0.35,1.5,2.0,412,0.6747572815533981,2.3788102455362172,3391.50535714287,4391.50535714287
0.4,0.4,1.2,2.5,422,0.6279620853080569,2.272729800505948,3383.894357142862,4383.894357142863
0.4,0.35,1.2,1.5,478,0.6610878661087866,2.261218226920612,3377.255214285721,4377.255214285721
0.45,0.3,1.5,2.0,430,0.6697674418604651,2.245457316711076,3370.647857142867,4370.647857142867
0.45,0.3,1.2,2.5,426,0.6455399061032864,2.2485005779786933,3365.7681428571536,4365.768142857154
0.4,0.35,0.8,2.0,497,0.5975855130784709,2.1093967083517313,3362.8654285714338,4362.865428571434
0.5,0.35,1.5,2.5,363,0.6721763085399449,2.5490757790759613,3355.6782142857337,4355.678214285734
0.35,0.35,0.8,2.0,530,0.5811320754716981,1.9752051096426686,3346.9351428571463,4346.935142857146
0.4,0.4,1.0,2.5,432,0.6134259259259259,2.1773652990384305,3343.867142857158,4343.867142857158
0.5,0.3,1.5,2.5,385,0.6649350649350649,2.355365260282688,3339.2903571428724,4339.290357142872
0.35,0.3,1.0,2.5,528,0.5946969696969697,1.870714683736952,3333.858928571437,4333.858928571437
0.4,0.3,1.2,1.5,498,0.6526104417670683,2.1241459320857436,3321.400928571433,4321.400928571433
0.5,0.35,1.2,2.5,367,0.659400544959128,2.5143411774907047,3313.3110000000174,4313.311000000018
0.45,0.3,1.0,2.5,442,0.6176470588235294,2.1129816060801843,3295.2292857143007,4295.2292857143
0.4,0.3,0.8,2.0,528,0.5814393939393939,1.9825166865377806,3294.8854285714337,4294.885428571433
0.45,0.3,1.2,2.0,437,0.6498855835240275,2.1864056881843874,3280.5425714285834,4280.542571428583
0.35,0.35,0.8,2.5,522,0.5689655172413793,1.93050174304687,3278.6702142857184,4278.670214285718
0.35,0.4,1.0,2.0,467,0.5995717344753747,2.0025525160718667,3274.582142857148,4274.582142857148
0.35,0.4,1.2,1.5,467,0.6316916488222698,2.1286574048545512,3263.239428571422,4263.239428571422
